GISFIPSCode,AVG_AGE,Current_Smoker_Count,Former_Smoker_count,Smoke_at_all_count,PatientCount,ends_atall,ends_use_100k,Current_Smoker_100k,Former_Smoker_100k,Smoke_at_all_100k
48045,73,18,19,37,81,11,11120,22230,23460,45680
37063,62,1728,2749,4477,12169,415,3410,14200,22590,36790
20037,70,232,294,526,1215,78,6420,19100,24200,43300
48213,70,1106,1661,2767,4452,262,5890,24850,37310,62160
36043,70,404,1048,1452,2318,73,3150,17430,45220,62640
6027,71,110,224,334,681,19,2790,16160,32900,49050
21059,70,799,1153,1952,4024,209,5200,19860,28660,48510
19057,71,384,504,888,1848,79,4280,20780,27280,48060
72109,70,26,37,63,426,11,710,6110,8690,14790
72071,66,98,166,264,1351,12,890,7260,12290,19550
51735,60,71,131,202,613,21,3430,11590,21370,32960
1119,66,107,54,161,482,11,2290,22200,11210,33410
16045,69,295,583,878,1544,100,6480,19110,37760,56870
31031,74,83,72,155,336,11,1490,24710,21430,46130
38031,73,14,40,54,128,11,2350,10940,31250,42190
38037,73,18,38,56,124,11,810,14520,30650,45170
33001,72,546,1574,2120,4036,111,2750,13530,39000,52530
16019,67,590,1289,1879,4169,149,3580,14160,30920,45070
40047,67,510,750,1260,2371,153,6460,21510,31640,53150
37149,72,164,353,517,995,37,3720,16490,35480,51960
38067,75,89,140,229,479,11,1260,18580,29230,47810
56017,74,75,156,231,398,16,4020,18850,39200,58040
45049,67,175,227,402,946,22,2330,18500,24000,42500
20169,71,373,683,1056,2591,204,7880,14400,26360,40760
40061,72,205,276,481,852,53,6220,24070,32400,56460
31105,71,61,85,146,261,11,4220,23380,32570,55940
34025,72,1194,3877,5071,11170,245,2200,10690,34710,45400
22045,69,443,710,1153,2364,52,2200,18740,30040,48780
21141,69,245,305,550,1008,69,6850,24310,30260,54570
18011,65,313,465,778,1800,89,4950,17390,25840,43230
21229,68,90,138,228,406,20,4930,22170,33990,56160
18071,71,344,511,855,1461,65,4450,23550,34980,58530
20043,72,68,72,140,349,16,4590,19490,20630,40120
48189,70,223,204,427,992,45,4540,22480,20570,43050
40069,69,169,213,382,611,46,7530,27660,34860,62520
40139,72,105,91,196,409,33,8070,25680,22250,47930
38065,71,14,22,36,74,11,2710,18920,29730,48650
45037,63,254,368,622,1480,59,3990,17170,24870,42030
47167,63,613,497,1110,3242,734,22640,18910,15330,34240
26067,66,360,595,955,1813,72,3980,19860,32820,52680
13287,67,92,85,177,399,11,2010,23060,21310,44360
19059,77,188,335,523,1206,50,4150,15590,27780,43370
51678,71,27,48,75,155,11,1940,17420,30970,48390
31065,76,57,88,145,300,12,4000,19000,29340,48340
13055,69,226,260,486,867,30,3460,26070,29990,56060
37167,69,556,768,1324,2544,127,5000,21860,30190,52050
